datetime_id,month_date,Credit; Housing; Monthly growth,Credit; Housing; 12-month ended growth,Credit; Owner-occupier housing; Monthly growth,Credit; Owner-occupier housing; 12-month ended growth,Credit; Investor housing; Monthly growth,Credit; Investor housing; 12-month ended growth,Credit; Other personal; Monthly growth,Credit; Other personal; 12-month ended growth,Credit; Non-financial Business; Monthly growth,Credit; Non-financial Business; 12-month ended growth,Credit; Business; Monthly growth,Credit; Business; 12-month ended growth,Credit; Business including select financial businesses; Monthly growth,Credit; Business including select financial businesses; 12-month ended growth,Credit; Total excluding financial businesses; Monthly growth,Credit; Total excluding financial businesses; 12-month ended growth,Credit; Total; Monthly growth,Credit; Total; 12-month ended growth,Credit; Total including select financial businesses; Monthly growth,Credit; Total including select financial businesses; 12-month ended growth,M3; Monthly growth,M3; 12-month ended growth,Broad money; Monthly growth,Broad money; 12-month ended growth
546,28/02/2022,0.6,7.9,0.7,9.4,0.6,5.0,0.1,-3.0,0.9,9.1,,,0.8,9.0,0.7,7.7,,,0.7,7.7,0.4,8.6,0.4,8.8
547,31/03/2022,0.6,8.0,0.6,9.3,0.6,5.4,0.0,-3.2,0.8,9.4,,,0.7,9.2,0.7,7.8,,,0.6,7.8,0.7,9.2,0.8,9.4
548,30/04/2022,0.6,8.0,0.6,9.1,0.6,5.9,0.5,-2.5,1.1,10.7,,,1.2,10.7,0.7,8.3,,,0.8,8.3,0.6,9.5,0.6,9.6
549,31/05/2022,0.6,8.0,0.6,8.9,0.6,6.2,-0.1,-2.8,1.4,11.8,,,1.4,11.8,0.8,8.6,,,0.8,8.7,0.8,10.2,0.8,10.3
550,30/06/2022,0.6,7.9,0.6,8.7,0.6,6.4,-0.3,-2.7,1.4,12.0,,,1.3,11.9,0.8,8.7,,,0.8,8.7,1.2,9.9,1.4,10.0
551,31/07/2022,0.5,7.7,0.5,8.4,0.4,6.5,0.0,-1.6,1.1,12.3,,,1.2,12.2,0.7,8.7,,,0.7,8.7,0.4,9.2,0.4,9.3
552,31/08/2022,0.5,7.6,0.6,8.2,0.4,6.5,0.0,-0.8,0.9,12.4,,,1.0,12.4,0.6,8.7,,,0.6,8.8,0.3,9.0,0.2,9.1
553,30/09/2022,0.4,7.4,0.5,8.0,0.3,6.3,-0.2,-0.2,1.4,13.5,,,1.3,13.3,0.7,8.9,,,0.7,8.9,-0.1,7.4,0.0,7.6
554,31/10/2022,0.4,7.2,0.5,7.8,0.2,6.1,0.2,-0.1,0.6,13.8,,,0.7,13.7,0.5,8.9,,,0.5,8.9,0.8,7.5,0.8,7.7
555,30/11/2022,0.4,6.9,0.4,7.5,0.3,5.8,0.1,-0.6,0.6,12.7,,,0.5,12.6,0.4,8.3,,,0.4,8.4,0.5,7.3,0.5,7.4
556,31/12/2022,0.3,6.5,0.4,7.0,0.2,5.4,-0.2,-0.5,0.5,11.9,,,0.3,11.6,0.4,7.8,,,0.3,7.8,0.5,6.3,0.6,6.5
557,31/01/2023,0.3,6.1,0.4,6.7,0.2,4.9,0.1,0.2,0.5,11.6,,,0.6,11.5,0.4,7.5,,,0.4,7.6,0.6,7.0,0.7,7.3
558,28/02/2023,0.4,5.8,0.4,6.4,0.3,4.6,0.0,0.1,0.6,11.2,,,0.4,11.1,0.4,7.2,,,0.4,7.2,0.1,6.7,0.0,6.9
559,31/03/2023,0.3,5.5,0.3,6.1,0.2,4.3,-0.3,-0.3,0.2,10.6,,,0.1,10.4,0.3,6.8,,,0.2,6.8,0.5,6.5,0.5,6.7
560,30/04/2023,0.3,5.2,0.4,5.8,0.2,3.9,0.1,-0.6,1.1,10.6,,,1.1,10.3,0.5,6.6,,,0.6,6.6,0.3,6.1,0.3,6.4
561,31/05/2023,0.3,4.9,0.4,5.6,0.1,3.5,0.4,-0.2,0.6,9.7,,,0.6,9.4,0.4,6.2,,,0.4,6.1,0.3,5.6,0.3,5.9
562,30/06/2023,0.3,4.7,0.4,5.4,0.2,3.2,0.1,0.3,0.1,8.3,,,0.1,8.1,0.2,5.6,,,0.2,5.6,-0.1,4.2,-0.1,4.4
563,31/07/2023,0.3,4.5,0.3,5.2,0.2,3.0,0.4,0.6,0.4,7.6,,,0.5,7.3,0.3,5.3,,,0.4,5.2,0.3,4.0,0.2,4.1
564,31/08/2023,0.3,4.3,0.4,4.9,0.2,2.9,0.7,1.2,0.7,7.4,,,0.7,7.1,0.5,5.1,,,0.5,5.0,0.6,4.3,0.7,4.6
565,30/09/2023,0.4,4.2,0.4,4.9,0.2,2.8,0.4,1.9,0.8,6.8,,,0.8,6.6,0.5,4.9,,,0.5,4.9,0.6,5.1,0.5,5.1
566,31/10/2023,0.4,4.2,0.4,4.8,0.3,2.9,0.2,1.9,0.4,6.5,,,0.4,6.3,0.4,4.8,,,0.4,4.8,0.3,4.6,0.3,4.6
567,30/11/2023,0.4,4.2,0.4,4.8,0.3,2.9,-0.1,1.8,0.5,6.5,,,0.5,6.2,0.4,4.8,,,0.4,4.7,0.6,4.6,0.7,4.7
568,31/12/2023,0.4,4.2,0.4,4.8,0.3,2.9,-0.3,1.7,0.5,6.5,,,0.5,6.4,0.4,4.8,,,0.4,4.8,0.7,4.8,0.7,4.9
569,31/01/2024,0.4,4.2,0.4,4.8,0.3,3.0,0.5,2.1,0.7,6.7,,,0.8,6.7,0.5,4.9,,,0.5,4.9,0.3,4.5,0.3,4.5
570,29/02/2024,0.4,4.2,0.4,4.8,0.3,3.0,0.3,2.4,0.6,6.8,,,0.7,7.0,0.5,5.0,,,0.5,5.1,0.7,5.1,0.7,5.2
571,31/03/2024,0.4,4.3,0.5,5.0,0.3,3.0,0.3,3.1,0.6,7.3,,,0.7,7.6,0.4,5.2,,,0.5,5.4,0.3,4.9,0.3,4.9
572,30/04/2024,0.5,4.5,0.5,5.1,0.4,3.2,0.2,3.2,0.7,6.9,,,0.6,7.0,0.5,5.2,,,0.5,5.3,0.4,5.0,0.4,5.1
573,31/05/2024,0.4,4.6,0.5,5.2,0.4,3.5,-0.1,2.7,0.4,6.7,,,0.4,6.8,0.4,5.2,,,0.4,5.3,0.3,5.0,0.2,5.0
574,30/06/2024,0.4,4.7,0.5,5.3,0.4,3.6,0.2,2.8,1.0,7.7,,,0.9,7.7,0.6,5.6,,,0.6,5.6,0.2,5.4,0.2,5.3
