DateTime ID,Report Month,Monetary Aggregate: Monthly Currency,Monetary Aggregate: Monthly Transaction Deposits w/ ADIs,Monetary Aggregate: M1 Money Supply,Monetary Aggregate: Monthly Certificate Deposits w/ ADIs,Monetary Aggregate: Monthly Non-Transaction Deposits w/ ADIs,Monetary Aggregate: M3 Money Supply,Monetary Aggregate: Monthly Private Borrowing (Other) w/ ADIs,Monetary Aggregate: Monthly Broad Money,Monetary Aggregate: Seasonally-Adjusted Currency,Monetary Aggregate: Seasonally-Adjusted M1 Money Supply,Monetary Aggregate: Seasonally-Adjusted M3 Money Supply,Monetary Aggregate: Seasonally-Adjusted Monthly Broad Money,Monetary Aggregate: Base Money Supply,Monetary Aggregate: Monthly Offshore Borrowings w/AFIs,Financial Growth: Monthly Housing Credit,Financial Growth: 12-Month Housing Credit,Financial Growth: Monthly Self-Occupied Housing Credit,Financial Growth: 12-Month Self-Occupied Housing Credit,Financial Growth: Monthly Investor Housing Credit,Financial Growth: 12-Month Investor Housing Credit,Financial Growth: Monthly Credit (Other),Financial Growth: 12-Month Credit (Other),Financial Growth: Monthly Non-Fin Businesses,Financial Growth: 12-Month Non-Fin Businesses,Financial Growth: Monthly Business,Financial Growth: 12-Month Business,Financial Growth: Monthly Exc-Fin Businesses,Financial Growth: 12-Month Exc-Fin Businesses,Financial Growth: Monthly Total Credit,Financial Growth: 12-Month Total Credit,Financial Growth: Monthly M3 Money,Financial Growth: 12-Month M3 Money,Financial Growth: Monthly Broad Money,Financial Growth: 12-Month Broad Money,Credit Aggregate: Monthly Bank Loans Exc-Fin Businesses,"Credit Aggregate: Monthly Bank Loans, Business",Credit Aggregate: Monthly NBFI Loans Exc-Fin Businesses,"Credit Aggregate: Monthly NBFI Loans, Business",Credit Aggregate: Monthly AFI Loans & Advances Exc-Fin Business,Credit Aggregate: Monthly AFI Loans & Advances,Credit Aggregate: Monthly Bills on Issue to Non-Fin Business,Credit Aggregate: Monthly Bills on Issue,Credit Aggregate: Monthly Narrow Cred. Exc-Fin Business,Credit Aggregate: Season-Adj Monthly Narrow Cred. Exc-Fin Busin,Credit Aggregate: Monthly Narrow Cred. Business,Credit Aggregate: Season-Adj Monthly Narrow Cred. Business,Credit Aggregate: Monthly Total Cred. Exc-Fin Business,Credit Aggregate: Season-Adj Monthly Total Cr. Exc-Fin Business,Credit Aggregate: Monthly Total,Credit Aggregate: Season-Adj Monthly Total,Credit Aggregate: Monthly Self-Occipied Housing,Credit Aggregate: Season-Adj Monthly Self-Occupied Housing,Credit Aggregate: Monthly Investor Cred.,Credit Aggregate: Season-Adj Monthly Investor Cred.,Credit Aggregate: Monthly Personal Cred.,Credit Aggregate: Season-Adj Monthly Personal Cred.,Credit Aggregate: Monthly Non-Fin Business,Credit Aggregate: Season-Adj Monthly Non-Fin Business,Credit Aggregate: Monthly Business,Credit Aggregate: Season-Adj Monthly Business,Credit Aggregate: Monthly Gov-Sector Lending
102,2011-06-30,47.6,391.9,438.1,170,733,1339.9,28.9,1368.8,48,437.9,1343.5,1372.5,54.6,368.2,0.4,6.1,0.5,6.1,0.4,5.9,-0.5,0.7,-0.5,-1.5,-0.9,-2.6,0.1,3.1,-0.2,2.6,-0.2,8.7,-0.3,7.2,1587.3,1622,159.4,163.9,1746.8,1785.9,122.9,125.9,1869,1864.4,1911.8,1908.9,1975.2,1970.2,2018.9,2015.4,807,804.2,380.2,380.2,140.4,139.4,647.6,645.9,691.3,691.2,104.8
103,2011-07-31,48.1,386.7,433,174.7,744.9,1351.6,30.3,1381.9,48.2,432.9,1352.7,1382,54.9,367.3,0.5,6,0.5,6.1,0.5,5.8,-0.2,0.2,0.3,-0.9,0.2,-2.1,0.4,3.3,0.3,2.7,0.9,8.6,0.8,7.2,1590.9,1625.1,159.8,164,1750.6,1789.1,121.9,124.9,1872.2,1871.4,1914,1914.7,1978.7,1976.8,2021.5,2021.5,810.4,810.1,381.6,380.9,138.9,138.8,647.8,648,690.6,692,103.7
104,2011-08-31,48,392.7,438.9,179.6,759.5,1376.9,29.3,1406.2,48.2,439.3,1373.3,1401.7,55.8,357,0.4,5.8,0.5,6.1,0.4,5.4,-0.7,-0.4,0.3,-0.1,0.1,-1.4,0.3,3.4,0.3,2.8,1.3,9.3,1.3,7.9,1600.6,1638.3,159.5,163.3,1760.2,1801.6,121.8,124.8,1881.6,1879.9,1926.3,1924.7,1986,1984,2031.6,2029.5,813.2,814,383.5,381.4,137.8,138.5,651.6,650.2,697.2,696.1,107.1
105,2011-09-30,48.8,401.7,448.7,174.6,766,1388.2,30.8,1419,48.7,442.9,1383.8,1412.7,56.1,346.4,0.5,5.8,0.4,6,0.5,5.3,0.2,-0.7,0.6,1,0.6,-0.1,0.5,3.7,0.5,3.3,0.8,9.5,0.9,8.2,1612.3,1649.7,158,161.9,1770.3,1811.6,121.7,124.5,1891.7,1892.3,1936.2,1936.8,1994.4,1994.1,2039.7,2039.5,815.7,817.6,385.5,383.8,137.4,138,655.8,654.9,701.2,700.6,115.5
106,2011-10-31,49.7,399.8,447.5,174.6,773,1394.2,29.8,1424,49.3,446.3,1390.4,1420.2,56.7,355.8,0.4,5.7,0.5,6,0.3,5.1,-0.1,-0.9,0.1,1.3,0.1,0.2,0.3,3.8,0.3,3.3,0.5,9,0.5,8,1620.7,1658.7,157.4,161.4,1778.1,1820.2,120.9,123.8,1898.6,1899.2,1944,1944.4,2000,1999.8,2046.3,2046.2,819,820.8,387,385.6,137.3,137.6,656.7,656,702.9,702.3,113.6
107,2011-11-30,50.2,403.1,451.3,176.2,773.5,1400.1,29.8,1429.9,49.9,447.4,1396,1426,57.2,345.9,0.4,5.6,0.4,6,0.4,5,0.1,-1.1,0.6,1.9,0.4,0.7,0.4,3.9,0.4,3.5,0.5,8,0.5,7.3,1629,1667.4,158.5,162.5,1787.6,1830,120.5,123.9,1907.8,1905.7,1953.8,1951.4,2009.2,2006.7,2056.1,2052.9,821.2,822.7,385.4,384.7,135.3,135.1,667.2,664.3,714.1,710.6,111.9
108,2011-12-31,50.8,405,453.9,178.9,783.2,1415.1,26.9,1442,49.8,445.5,1406.6,1436.9,60.6,341.9,0.4,5.4,0.3,5.7,0.4,4.8,-0.2,-0.9,0.2,2.4,0.2,1,0.3,3.9,0.3,3.4,0.9,8.2,0.8,7.5,1641,1678.8,152.6,156.8,1793.6,1835.6,120,123.4,1913.4,1912.1,1958.9,1957.8,2012.9,2012.2,2059.4,2058.6,824.7,825.1,386.9,386.4,135.4,135.1,665.9,665.5,712.3,711.7,108.8
109,2012-01-31,49.5,400.5,448,179,794.7,1420.9,29.3,1450.2,49.5,446.5,1416.7,1447.7,58,341,0.4,5.3,0.5,5.6,0.4,4.7,-0.1,-1.1,-0.2,2.3,-0.2,1,0.2,3.9,0.2,3.4,0.7,8.2,0.7,8,1643.1,1682,152.4,156.2,1795.5,1838.3,119.5,122.8,1914.8,1916.5,1961.1,1961.7,2013.1,2016,2060.2,2062.4,828,828.5,388.1,388.4,134.6,135,662.4,664.8,709.5,710.7,102.8
110,2012-02-29,49.3,393.1,440.4,181.2,800.5,1421.3,29.6,1450.8,49.6,444.7,1424.1,1452.5,56.8,332,0.4,5.3,0.4,5.5,0.5,4.9,0.2,-0.9,0.3,2,0.5,0.9,0.5,3.9,0.4,3.4,0.6,7.9,0.3,7.4,1652.9,1692.6,151.5,155.5,1804.4,1848.2,119.4,122.5,1923.6,1926.3,1970.7,1972.2,2021.1,2026.8,2069.1,2070.8,830.8,830.8,389.8,391.2,135.7,135.1,664.8,666.2,712.8,713.2,100.7
111,2012-03-31,49.9,393,441,184.6,805.3,1429.9,25.7,1455.6,50.3,444.8,1434.1,1460.6,57.5,335.6,0.4,5.3,0.3,5.4,0.5,5,-0.1,-1.4,0.7,2.1,0.7,1,0.4,3.8,0.5,3.3,0.7,7.9,0.7,7.4,1663.6,1703.8,151.4,155.5,1815,1859.3,119.8,122.9,1934.5,1936.9,1982.2,1983.9,2030.6,2033.4,2079.2,2081.2,833.5,832.2,391.9,394,135.2,135.1,670.1,671,718.7,719.4,108.4
112,2012-04-30,50.2,393.9,442,178.1,810.8,1430.1,23.7,1453.8,50.4,448,1438.7,1460.9,58,334,0.4,5.2,0.3,5.3,0.5,5.2,-0.1,-1.5,0.8,3.3,0.5,2.2,0.5,4.1,0.4,3.7,0.2,7.5,0,7,1677.7,1716.4,148.8,152.5,1826.6,1868.9,119.3,122.4,1945.6,1947.2,1991.3,1993.2,2041.5,2043.7,2088,2090.5,836.4,834.2,393.7,396.5,135.1,135.1,676.3,678,722.8,724.6,106.2
113,2012-05-31,50.5,399.1,447.7,179.2,823,1448.9,22.5,1471.4,51,453.7,1457.3,1479,57.5,334.4,0.4,5.1,0.3,5.1,0.4,5.2,0.2,-1.3,0.6,4,0.6,3,0.4,4.3,0.5,4,1.2,8.4,1.2,7.6,1689.2,1728.8,149.5,153.1,1838.7,1881.8,119.3,122.1,1957.6,1958.7,2003.9,2004.8,2052.8,2054.2,2100,2101,840,837.3,396.3,398,135.3,135.5,681.3,683.3,728.5,730,110.7
114,2012-06-30,51.1,411.3,460.3,177.5,824.9,1461.9,22.5,1484.3,51.4,460.5,1465.4,1488.5,58.1,334.4,0.3,5,0.3,4.9,0.4,5.2,-0.3,-1.2,0.4,4.9,0.4,4.4,0.3,4.5,0.3,4.4,0.6,9.3,0.7,8.7,1701.5,1740.3,148.7,152.5,1850.2,1892.7,119,121.8,1968.8,1963.8,2014.5,2010.9,2064.1,2058.4,2110.7,2106.5,844.5,842.2,399.1,399,135.3,134.6,685.2,682.6,731.8,730.8,112.6
115,2012-07-31,51.2,424.3,473.5,178,822.4,1473,23.5,1496.6,51.3,473.2,1472.3,1495.9,58.4,329,0.4,4.9,0.3,4.7,0.5,5.2,-0.1,-1.1,0,4.5,0,4.2,0.2,4.3,0.2,4.2,0.6,9,0.5,8.4,1704.8,1744.4,148.6,152.5,1853.4,1896.9,118.3,120.7,1971.1,1969.7,2017.6,2017.2,2065.1,2063.2,2112.4,2111.6,834.4,835.4,416.8,415.2,129.7,129.8,684.2,683.5,731.5,731.7,119
116,2012-08-31,51.9,427.9,477.7,179.7,830.2,1486.6,22.4,1509,52,478.2,1482.9,1504.8,58.8,330,0.4,4.8,0.3,4.5,0.5,5.3,-0.4,-0.8,0.2,4.4,0.4,4.4,0.3,4.3,0.3,4.3,0.6,8.2,0.6,7.6,1710.2,1749.2,149.2,152.9,1859.3,1902.1,117.5,119.8,1976.3,1975.1,2021.9,2021.1,2069.7,2068.7,2116.2,2115.1,836.3,838.4,418.5,415.2,129,129.8,686,685.2,732.5,732.1,125.8
117,2012-09-30,52.5,437.1,487.4,174.4,832.8,1493.5,24.1,1517.6,52.4,481.3,1488.5,1511.1,59.4,336.7,0.4,4.7,0.4,4.5,0.4,5.2,0.3,-0.7,0.2,3.9,0.2,4,0.3,4.1,0.3,4.1,0.4,7.7,0.5,7.1,1714.2,1752.8,150.4,154.2,1864.5,1907,117.4,119.8,1981.5,1981.7,2026.9,2027.2,2074.3,2073.4,2120.5,2120.4,837.2,840.2,419.2,416.7,128.9,129.4,688.9,687.7,735.2,734.4,135.4
118,2012-10-31,52.4,431.5,481.8,173,844.9,1498.8,22.2,1521,52,480.4,1495.5,1517.2,59.9,336.6,0.3,4.6,0.3,4.3,0.4,5.3,0.2,-0.4,-0.3,3.5,-0.2,3.6,0.1,3.9,0.1,4,0.5,7.7,0.3,6.9,1719,1757.4,150.3,153.9,1869.4,1911.3,116.4,118.7,1984.7,1985.2,2030,2030.5,2075.8,2076.2,2121.8,2122.1,839.8,842,420.9,419.2,129.1,129.3,686,685.4,732,731.7,133.2
119,2012-11-30,52.9,435.2,486.1,174.6,842.6,1502.2,21.8,1524.1,52.4,482.8,1500.1,1522.1,61,334.8,0.4,4.6,0.3,4.2,0.5,5.4,-0.2,-0.7,-0.2,2.7,-0.3,2.9,0.2,3.6,0.1,3.7,0.4,7.5,0.3,6.7,1724.6,1762.5,151.1,154.8,1875.7,1917.3,116.1,118.4,1991.2,1990,2035.7,2034.3,2081.5,2080,2126.7,2124.7,843,844,423,422.8,129.8,129.4,685.7,683.7,730.9,728.4,138.3
120,2012-12-31,53.8,451.6,503.5,171.7,842,1516.1,20.8,1536.9,52.7,494.6,1508.4,1530.9,63.6,337.5,0.3,4.5,0.2,4.1,0.4,5.5,0.2,-0.3,0.4,2.9,0.5,3.2,0.3,3.7,0.4,3.8,0.6,7.2,0.6,6.6,1732.6,1771.4,150.4,154,1883,1925.4,115.3,117.7,1997.6,1996.7,2043.1,2042.2,2086.3,2085.4,2132.6,2132.1,845.9,845.4,424.4,424.4,130.3,129.6,685.8,685.8,732.1,731.8,140.3
121,2013-01-31,53.1,452.4,503.7,168.5,852.2,1523.3,18.1,1541.4,53.1,501.8,1519.1,1538.8,61.2,336,0.4,4.4,0.3,3.9,0.5,5.6,-0.1,-0.3,-0.2,2.9,-0.2,3.3,0.2,3.6,0.2,3.7,0.6,7.2,0.4,6.3,1736.6,1776.2,150.4,153.8,1887,1929.9,114.2,116.5,2000.5,2002.4,2046.5,2047.5,2087.5,2090.5,2134.3,2136.6,847.8,847.4,426.2,427.2,129.6,129.8,683.9,686.5,730.7,732.3,139.6
122,2013-02-28,53.2,451.9,503.2,164.7,851.7,1518.5,16.8,1535.3,53.5,508.3,1521.9,1537.7,60.7,326.6,0.4,4.4,0.3,3.8,0.6,5.7,0.2,-0.3,-0.2,2.4,0,2.7,0.2,3.3,0.2,3.5,0.3,6.9,-0.1,5.9,1742.1,1782.9,150.5,153.5,1892.6,1936.4,113.2,115.5,2005,2007.5,2051.9,2053.3,2091.8,2093.5,2139.4,2140.9,850.2,849.3,426.9,429,131.6,131,683.1,684.4,730.6,731.1,144.6
123,2013-03-31,53.5,458.3,510,167.1,852.7,1528.6,16.9,1545.5,53.5,514.3,1531.8,1549.2,61.8,328.8,0.4,4.4,0.4,3.9,0.4,5.6,0.1,-0.1,0.1,1.8,0.1,2,0.3,3.3,0.3,3.3,0.7,6.9,0.8,6,1752.1,1792.7,149.2,152,1901.2,1944.7,111.8,114.1,2012.4,2014.8,2058.8,2060.4,2098,2100.2,2145,2146.6,853.2,851.6,428.8,431.4,131.4,131.2,684.5,685.5,731.5,732.1,148.8
124,2013-04-30,53.3,459.5,511,171.6,855,1536.5,18.1,1554.7,54,517,1546.1,1563,61.1,335.4,0.4,4.5,0.4,3.9,0.5,5.6,0,0.1,0.2,1.2,0.2,1.7,0.3,3.1,0.3,3.3,0.6,7.3,0.6,6.7,1761.6,1801.8,149.3,151.9,1910.8,1953.7,110.7,112.9,2020.7,2022,2066.6,2068.4,2105.2,2107.3,2151.7,2153.9,856.7,854.1,431.1,434.2,131.3,131.5,686.1,687.4,732.6,734.1,149.8
125,2013-05-31,53.9,467,519.3,175,860.1,1553.3,11.5,1564.9,54.4,526,1560.8,1571.7,61.2,336.2,0.4,4.5,0.4,4,0.5,5.7,0,-0.1,0.3,0.9,0.2,1.3,0.3,3,0.4,3.1,1,7.1,0.7,6.2,1771.7,1812.1,148.6,151.3,1920.3,1963.4,109.9,112.1,2029.4,2030.1,2075.6,2076,2114.7,2115.6,2161.6,2162,860.2,857.7,433.8,435.6,131.5,131.9,689.2,690.4,736.1,736.8,152.7
126,2013-06-30,54.4,478.2,530.8,173.9,853.8,1557.5,10.6,1568.3,54.8,530.7,1561.3,1572.9,61.4,330.6,0.4,4.6,0.3,4,0.5,5.8,0.1,0.3,0.6,1.1,0.4,1.3,0.4,3.2,0.3,3.2,0.1,6.5,0.1,5.5,1786.7,1825.9,148.1,150.8,1934.8,1976.8,108.5,110.7,2042.8,2037.8,2087.5,2083.4,2128.2,2122,2173.5,2168.6,857.7,856.1,444.8,444,132.1,131.6,693.6,690.8,738.9,737.5,152.6
127,2013-07-31,55,477.8,530.7,176.5,862.8,1568.9,11.9,1581,55.1,529.8,1565.7,1578.8,62.2,340.7,0.5,4.7,0.4,4.1,0.6,5.9,0,0.4,0.2,1.3,0.2,1.5,0.4,3.3,0.4,3.4,0.4,6.3,0.4,5.4,1792.1,1832.2,147.6,150.2,1939.7,1982.4,107.1,109.3,2046.3,2044.8,2091.7,2090.8,2130.4,2129,2176.4,2175.4,825.9,827.9,473.2,470.6,138,138.3,693.3,692.4,739.3,738.9,157.3
128,2013-08-31,55.8,480.6,534.3,173.3,864.2,1570.6,13.4,1584.3,56,535,1567,1580.5,62.8,341.6,0.4,4.8,0.3,4.2,0.6,6.1,-0.1,0.8,0.2,1.3,0.2,1.4,0.3,3.4,0.3,3.4,0.1,5.8,0.1,5,1802.7,1843.5,144.3,146.6,1947,1990.2,105.4,108.1,2051.9,2051.7,2098.3,2098.5,2135.8,2135.7,2182.8,2183,828.3,831.1,475.6,471.4,142.7,143.7,689.2,689.2,736.2,736.7,157
129,2013-09-30,55.7,494.2,547.6,168.1,868.6,1583.4,14,1597.6,55.6,541.6,1578.3,1591.5,63.1,358.5,0.5,4.9,0.4,4.2,0.6,6.3,0.2,0.7,-0.2,0.9,-0.1,1,0.2,3.3,0.2,3.3,0.7,6,0.7,5.2,1809.1,1852.4,144,146.4,1953.1,1998.8,105.1,107.1,2057.8,2058,2105.9,2106.1,2140.9,2140.6,2189.6,2189.6,830.6,834,478.4,475.4,142.7,143,689.2,688.1,737.9,737,166.7
130,2013-10-31,56.4,498.6,552.9,169.2,871.3,1592.5,12.9,1605.6,56,551.4,1589.8,1602.1,63.7,356,0.5,5,0.3,4.2,0.7,6.6,-0.1,0.4,0.1,1.3,0,1.3,0.3,3.5,0.3,3.5,0.7,6.3,0.7,5.6,1817.3,1859.7,144.3,146.5,1961.5,2006.2,104,105.9,2065.2,2065.2,2112.1,2112.3,2147.5,2147.7,2195.1,2195.4,832.2,834.3,482,480.4,143.5,143.5,690,689,737.5,737.1,167.5
131,2013-11-30,56.9,505.8,560.4,170.9,869.9,1600.3,10.9,1611.4,56.5,557.5,1599.9,1610.9,77.4,353.8,0.5,5.2,0.4,4.2,0.8,6.9,0.1,0.7,0.1,1.6,0.2,1.8,0.4,3.7,0.4,3.7,0.7,6.7,0.5,5.8,1828.4,1872.4,144.8,146.9,1973.1,2019.3,102.8,104.8,2075.7,2074.7,2124.1,2122.9,2157.2,2156,2206.2,2204.8,835.8,836.2,485.8,486,144.4,143.9,691.2,690.1,740.1,738.5,166.2
132,2013-12-31,57.7,521.5,576.9,168.5,876.3,1620.6,9.2,1630.1,56.5,567.2,1613.7,1623.6,88.5,351.7,0.6,5.4,0.4,4.4,0.8,7.3,0.2,0.7,0.2,1.4,0.3,1.6,0.4,3.8,0.5,3.8,0.6,6.7,0.6,5.8,1842.6,1888.2,145,147.1,1987.6,2035.3,100.6,102.6,2088.2,2087.2,2137.9,2136.9,2169.3,2168.4,2219.5,2218.9,838.8,837.7,490.9,491.6,145.3,144.3,694.2,694.5,744.5,744.5,164
133,2014-01-31,57.1,517.2,572,171.8,883.9,1626.9,4.3,1631.5,57,569.8,1622.2,1628.2,86.2,347,0.6,5.6,0.4,4.6,0.8,7.6,0.2,0.9,0.2,1.7,0,1.8,0.4,4.1,0.4,4,0.6,6.7,0.6,6,1850.7,1896.6,140.9,142.9,1991.7,2039.5,99.2,101.1,2090.8,2092.5,2140.6,2141.6,2170.7,2173.1,2221,2223,839.5,838.3,494,495.4,144,144.1,693.2,695.3,743.6,745.1,166.3
134,2014-02-28,56.6,513,567.3,176.2,885.6,1628.4,5.7,1634.3,57,573,1632.1,1637.4,85.4,356.6,0.5,5.8,0.4,4.7,0.7,7.8,-0.1,0.6,0.3,2.2,0.4,2.2,0.4,4.3,0.4,4.2,0.7,7.1,0.6,6.6,1862.1,1908.7,140.8,142.7,2002.9,2051.5,98.4,100.3,2101.3,2103.1,2151.8,2152.7,2180.2,2181.4,2231.3,2232.2,842.5,841.1,496.8,499.5,144.7,144.1,696.2,697.3,747.2,747.4,170.5
135,2014-03-31,56.9,519.1,573.7,177.6,881,1631.5,6.3,1638,57.5,578.3,1638.1,1645.4,85.3,353.9,0.5,5.9,0.4,4.7,0.7,8.1,-0.1,0.4,0.4,2.5,0.4,2.6,0.4,4.4,0.4,4.4,0.3,6.7,0.5,6.3,1871.2,1919,141,142.9,2012.2,2061.9,96.5,98.4,2108.8,2111.2,2160.3,2162,2188.8,2190.5,2240.9,2242.3,845.3,843.6,500.3,503.4,144.4,144.2,698.9,699.7,750.9,751.4,177
136,2014-04-30,57.3,524.6,579.6,182.1,881.4,1642.2,6.5,1649,57.4,585.6,1647.9,1653.3,86.4,354.9,0.6,6.1,0.5,4.8,0.8,8.4,0.2,0.6,0.2,2.6,0.4,2.7,0.5,4.6,0.5,4.6,0.7,6.8,0.6,6.3,1882.7,1929.9,141.1,143.1,2023.9,2073,95.2,97.1,2118.9,2120.2,2170,2172.2,2198.3,2200.1,2250,2252.1,849.6,847.1,504.2,507.7,144.5,144.9,700.1,700.9,751.7,752.9,177.7
137,2014-05-31,58.2,526.3,582.2,188,884.3,1653.6,7.2,1661.2,58.7,589.1,1661.1,1667.8,84.4,361.6,0.6,6.2,0.4,4.8,0.8,8.7,-0.1,0.4,0.1,2.4,0.3,2.8,0.4,4.6,0.5,4.7,0.7,6.5,0.8,6.4,1894.2,1943,141.4,143.2,2035.6,2086.3,94,95.9,2129.5,2130.5,2182.2,2183,2208.1,2208.6,2261.3,2261.8,853.3,851.4,508.8,510.5,144.3,144.9,701.8,702.4,755,755.3,185.1
138,2014-06-30,57.6,545,600.2,186.1,879.6,1665.3,6.3,1672,58,599.4,1669,1676.6,85.6,366.5,0.6,6.4,0.4,4.9,0.8,9,0.4,0.7,1.1,2.9,1,3.5,0.7,4.9,0.7,5.1,0.6,6.9,0.6,6.9,1916,1964.7,142.5,144.5,2058.4,2109.1,92.8,94.5,2151.3,2146.9,2203.6,2199.7,2230,2224.3,2282.9,2277.7,858.5,857.4,514.2,512.5,145.6,145.2,711.8,709.4,764.7,763.2,184.7
139,2014-07-31,58.3,547.4,603.3,192.2,891.6,1686.3,4.9,1691.6,58.4,601.9,1680.5,1687.5,86.5,367,0.5,6.5,0.4,4.9,0.8,9.3,0.2,0.9,0.2,2.9,0.2,3.4,0.4,5,0.4,5.1,0.6,7.2,0.6,7.1,1924.1,1973.5,141.7,143.8,2065.9,2117.3,91.6,93.3,2157.6,2156.4,2210.6,2209.6,2235.1,2234.5,2288.7,2287.8,860.4,863.1,517.9,514.4,144.5,145,712.4,711.8,765.9,765.3,193
140,2014-08-31,58.9,548.5,605,192.3,900.6,1697.3,4.8,1702.5,59,605.9,1693.8,1699,86.7,346.7,0.5,6.6,0.4,5,0.8,9.5,0.1,1.1,0,2.7,0.1,3.3,0.4,5,0.4,5.1,0.8,8,0.7,7.8,1933.2,1981.7,141.8,143.9,2075.1,2125.6,90.2,92,2165.5,2166,2217.6,2218.5,2241.7,2242.6,2294.4,2295.7,863.1,866.3,521.6,517.1,144.3,145.4,712.6,713.6,765.3,766.6,197.4
141,2014-09-30,59.3,562,618.7,193.7,899.1,1710.8,3.7,1714.9,59.2,613.1,1706,1709.6,87.1,325.6,0.6,6.8,0.4,5,0.9,9.8,0.2,1.1,0.3,3.3,0.3,3.8,0.5,5.3,0.5,5.4,0.7,8.1,0.6,7.7,1946.5,1995,141.3,143.5,2087.8,2138.5,88.6,90.4,2176.6,2176.7,2228.9,2229,2253.1,2253.6,2306,2306.4,866,869.7,525.9,522.8,144.4,144.7,716.8,715.8,769.6,768.9,202.2
142,2014-10-31,60.2,561.1,618.9,196.3,900.2,1714.8,6.8,1721.9,59.9,617.1,1712.4,1718.6,88.2,333.3,0.6,6.9,0.4,5,0.9,10,0.2,1.4,0.5,3.7,0.6,4.4,0.5,5.5,0.6,5.7,0.4,7.7,0.6,7.5,1963.4,2013,139.9,142,2103.3,2155,86.5,88.4,2190.1,2189.4,2243.4,2243,2265.6,2265.5,2319.4,2319.6,869.6,871.6,530.6,529.5,144.7,144.7,720.7,719.3,774.6,773.9,202.6
143,2014-11-30,60.3,567.6,625.3,195.3,896.2,1716.2,5.5,1722,59.9,622.3,1716.8,1722.1,88,343.6,0.6,7,0.4,5.1,0.9,10.2,0,1.3,0.5,4,0.4,4.6,0.5,5.6,0.5,5.8,0.2,7.3,0.2,7.2,1974.9,2025.4,140.5,142.6,2115.4,2167.9,85.8,87.6,2201.5,2200.2,2255.5,2254.1,2278.1,2276.5,2332.7,2331.5,873.9,873.7,535.5,536.3,145.5,144.8,723.1,722.5,777.7,776.7,207.3
144,2014-12-31,62,584.1,643.6,195.3,898.3,1736.4,6.1,1742.8,60.8,633.9,1731.2,1737.3,92.3,333.8,0.6,7,0.4,5.1,0.9,10.3,0,1.1,0.3,4.2,0.4,4.7,0.5,5.7,0.5,5.9,0.8,7.5,1,7.5,1986.3,2036.7,141,143.1,2127.3,2179.8,83.6,85.5,2211.3,2209.8,2265.3,2264,2288.2,2287.1,2342.8,2341.9,878.3,876.7,540.5,541.8,146.1,144.8,723.3,723.5,777.8,778,212.7
145,2015-01-31,60.6,583.4,641.5,193.4,906,1740.2,6.6,1747,60.5,639.1,1735.3,1743.3,89.2,345.2,0.6,7,0.4,5.1,0.9,10.4,0.1,1,0.6,4.7,0.8,5.5,0.6,5.9,0.6,6.1,0.2,7.1,0.2,7.1,1997.7,2048.7,141.7,144,2139.5,2192.7,82.1,84,2221.9,2223.3,2276.6,2277.5,2298.5,2300.1,2353.8,2355.4,881.9,880.2,544.7,546.4,145,145,726.9,728.4,782.2,783.4,212.8
146,2015-02-28,61.5,590,649,195.4,908.7,1752.3,6.8,1759.3,61.9,655.4,1756.1,1762.8,90.3,346,0.5,7.1,0.4,5.1,0.8,10.5,-0.1,0.9,0.5,4.8,0.5,5.6,0.5,6,0.5,6.2,1.2,7.6,1.1,7.7,2011.8,2063.4,141.7,143.9,2153.5,2207.3,80.8,82.7,2234.7,2235.8,2290,2290.4,2310.4,2311,2366.3,2366.5,884.9,883.1,548.4,551.2,145.3,144.8,731.8,732.5,787.7,787.6,215.9
147,2015-03-31,61.3,597.1,655.7,197.9,900.6,1753.5,5.3,1758.8,61.6,660.8,1759.4,1765,90.7,348,0.6,7.2,0.5,5.2,0.9,10.6,0.3,1.3,0.3,4.8,0.3,5.4,0.5,6,0.5,6.2,0.2,7.5,0.2,7.3,2023.2,2075.1,141.6,143.7,2164.8,2218.8,79.6,81.6,2245.1,2247.3,2300.4,2302.3,2321.5,2322.7,2377.4,2378.5,889.1,887.2,553.2,556.3,145.5,145.5,733.7,734.3,789.6,789.9,216.1
148,2015-04-30,62.7,603.8,664,200.1,900.9,1764.3,7.2,1771.6,63.1,670.3,1770,1776.4,90.9,370.8,0.6,7.2,0.4,5.1,0.9,10.8,-0.1,1,-0.2,4.3,0,5,0.3,5.9,0.3,6.1,0.5,7.4,0.6,7.4,2034.3,2087.1,139.1,141.3,2173.4,2228.4,78.4,80.3,2252.4,2253.8,2308.7,2311.2,2328,2329.2,2384.9,2386.7,892.6,890.5,558.1,561.4,144.4,144.9,732.9,733.1,789.8,790.4,206.2
149,2015-05-31,62.9,608.6,669,202,894.7,1765.1,6.1,1771.3,63.4,676.6,1772.7,1778.2,90.7,370.6,0.6,7.2,0.5,5.1,0.8,10.8,0,1.2,0.7,5,0.6,5.3,0.6,6.1,0.6,6.2,0.2,6.8,0.1,6.6,2050.7,2102.7,139.2,141.4,2189.9,2244.1,77.7,79.6,2268.1,2269.8,2323.7,2325.5,2343.1,2343.5,2399.2,2400.1,896.7,895.4,563.4,564.8,144.4,145.2,738.5,739.1,794.6,795,209.4
