DateTime ID,Report Month,Financial Growth: Monthly Non-Fin Businesses,Financial Growth: 12-Month Non-Fin Businesses,Financial Growth: Monthly Business,Financial Growth: 12-Month Business,Financial Growth: Monthly Exc-Fin Businesses,Financial Growth: 12-Month Exc-Fin Businesses,Credit Aggregate: Monthly Bank Loans Exc-Fin Businesses,"Credit Aggregate: Monthly Bank Loans, Business",Credit Aggregate: Monthly NBFI Loans Exc-Fin Businesses,"Credit Aggregate: Monthly NBFI Loans, Business",Credit Aggregate: Monthly AFI Loans & Advances Exc-Fin Business,Credit Aggregate: Monthly Bills on Issue to Non-Fin Business,Credit Aggregate: Monthly Narrow Cred. Exc-Fin Business,Credit Aggregate: Monthly Narrow Cred. Business,Credit Aggregate: Season-Adj Monthly Narrow Cred. Business,Credit Aggregate: Monthly Total Cred. Exc-Fin Business,Credit Aggregate: Season-Adj Monthly Total Cr. Exc-Fin Business,Credit Aggregate: Monthly Non-Fin Business,Credit Aggregate: Season-Adj Monthly Non-Fin Business,Credit Aggregate: Monthly Business,Credit Aggregate: Season-Adj Monthly Business
166,2016-10-31,0.6,3.7,0.6,4.5,0.5,5.1,2279.7,2349.9,130.8,133.8,2410.5,56,2466.7,2541,2539.1,2536.3,2535.3,789.5,786.9,864.5,863.1
167,2016-11-30,0.5,4.3,0.4,5,0.5,5.2,2293.8,2363.5,131.2,134.3,2425,54.7,2480,2553.8,2551.2,2549.3,2547.4,792,790.8,866.6,866
168,2016-12-31,1.2,5,1.1,5.6,0.7,5.5,2313,2382.7,132.7,135.7,2445.7,53.4,2499.4,2573.1,2571.7,2568.6,2566.6,800.4,800.4,874.8,875.6
169,2017-01-31,-0.4,4.1,-0.3,4.6,0.2,5.2,2315.7,2387.2,132.7,135.6,2448.3,52.1,2500.7,2576,2577.2,2579.1,2580.7,796.8,798.2,872.8,873.9
170,2017-02-28,-0.1,3.2,-0.1,3.7,0.3,4.8,2325.6,2398,132.4,135.2,2458,50.7,2508.9,2585.1,2585.3,2587.8,2587.2,797.4,797.6,874.1,873.6
171,2017-03-31,-0.1,2.9,-0.1,3.4,0.3,4.9,2334,2405.6,132.6,135.2,2466.5,48.9,2515.7,2591.4,2593,2596,2595.3,797.6,797,873.9,873.2
172,2017-04-30,0.4,2.6,0.3,3,0.5,4.8,2345.7,2416.4,133.1,135.8,2478.8,48.2,2527.3,2602.1,2604.5,2607.7,2606.3,801.5,800.1,877,875.4
173,2017-05-31,0.1,2.5,0.2,2.9,0.4,4.9,2355.1,2427.6,134,136.7,2489.2,47.6,2537,2613.5,2617.3,2618.5,2619.3,801.8,802.9,878.8,879.6
174,2017-06-30,0.8,3.9,1.1,4.2,0.6,5.3,2371.9,2447.9,135.5,139.1,2507.4,46.5,2554.2,2635.1,2632.7,2639,2635,808.4,808.2,890.1,889.3
175,2017-07-31,0.4,3.9,0.4,4,0.4,5.3,2379.5,2456.3,135.4,138.9,2514.9,44.8,2559.9,2641.8,2641.5,2644.7,2647.1,809.9,811.7,892.5,893.4
176,2017-08-31,0.2,4,0.3,4.2,0.4,5.4,2386.3,2464.2,136.2,139.5,2522.6,43.9,2566.7,2649.4,2650.3,2653.6,2658.2,811.2,813.9,894.6,897.3
177,2017-09-30,0.1,4,0.1,4.2,0.3,5.3,2395.2,2472.1,137.3,140.5,2532.5,42.9,2575.7,2657.2,2655.7,2664.7,2666.6,814.8,814.2,897.1,896.4
178,2017-10-31,0.1,3.5,0.3,3.9,0.3,5.1,2406.2,2483.4,138.6,142,2544.8,42,2587,2669.1,2666.9,2676.3,2675.8,818.2,815.4,901,899.7
179,2017-11-30,0.6,3.6,0.7,4.2,0.5,5.1,2417.8,2494.7,138.8,142.3,2556.6,41.1,2598,2679.9,2677,2690.2,2688.2,822.7,821,905.3,904.9
180,2017-12-31,0,2.4,0,3.1,0.3,4.7,2423.9,2501.4,139.9,143.5,2563.8,40.3,2604.1,2686.8,2685.6,2697.3,2694.9,820.2,820.2,903.6,904.9
181,2018-01-31,-0.1,2.6,-0.1,3.3,0.3,4.7,2429,2507.6,140.2,143.8,2569.2,39.2,2608.3,2692.3,2694.2,2701.5,2703.9,818.3,820.1,903,904.4
182,2018-02-28,0,2.8,0.1,3.4,0.3,4.7,2437.3,2517.3,140.1,143.6,2577.4,38.5,2615.9,2701,2701.9,2711.2,2710.5,819.9,820.4,905.7,905.4
183,2018-03-31,0.5,3.3,0.4,3.9,0.4,4.8,2450.4,2530.1,141.3,144.8,2591.7,37.7,2629.3,2714,2714.8,2724.7,2722.6,826.5,825.3,911.9,910.1
184,2018-04-30,0.4,3.3,0.5,4,0.4,4.8,2459.1,2541.2,141.8,145.2,2601,37,2637.9,2724.9,2726.7,2735,2733,831.1,829,918.8,916.2
185,2018-05-31,0.1,3.2,0,3.8,0.3,4.6,2464.5,2546.8,141.8,144.6,2606.4,36.4,2642.8,2729.2,2733.6,2741,2741.5,829.7,831.1,916.7,917.7
186,2018-06-30,0.5,2.9,0.5,3.1,0.4,4.4,2477.5,2560.5,144.6,147.2,2622.1,35.3,2657.4,2744.4,2742.1,2756.8,2752.5,834.2,834.1,921.7,920.7
187,2018-07-31,0.5,3,0.6,3.4,0.4,4.3,2484.3,2568.6,144.5,148,2628.8,34.1,2662.9,2752,2751.7,2762,2765.1,836.8,838.9,926.6,927.8
188,2018-08-31,0.6,3.3,0.7,3.8,0.4,4.4,2493.4,2575.9,150.5,153.9,2643.9,33.1,2677,2764.3,2764.6,2777,2781.9,841.4,844,929.4,932
189,2018-09-30,0.5,3.7,0.7,4.4,0.4,4.4,2504.5,2589.9,153.5,156.8,2657.9,32.1,2690.1,2780.1,2777.7,2791.2,2793.1,850.6,849.9,941.3,940.5
190,2018-10-31,0.5,4.2,0.7,4.8,0.3,4.4,2516.3,2601,153.4,157.1,2669.7,31.4,2701.1,2790.8,2789,2802.6,2802.6,857.2,854.2,947.5,946.5
191,2018-11-30,0.5,4.1,0.5,4.5,0.3,4.3,2527.7,2613,153,156.9,2680.7,30.3,2710.9,2801.4,2798.7,2813.4,2811.4,861.4,859.6,952.6,952.6
192,2018-12-31,0.1,4.2,0.3,4.8,0.2,4.1,2531.3,2618,154.2,158.2,2685.5,29.9,2715.3,2807.3,2806.2,2819.5,2817.1,861.3,861.4,954,955.6
193,2019-01-31,0.1,4.4,0.1,5.1,0.2,4,2529.3,2621.6,154.2,158,2683.5,28.6,2711.9,2809.4,2812.6,2816.3,2819.5,856.8,859.5,955,957.3
194,2019-02-28,0.1,4.5,0.1,5.1,0.2,3.9,2537.6,2630.2,155.5,159.4,2693.1,27.5,2720.3,2818.3,2820.4,2824.9,2824.8,860.1,861.3,958.7,959.2
195,2019-03-31,-0.1,4,0.1,4.9,0.1,3.6,2542.1,2636.5,155.5,160,2697.6,26.3,2723.4,2823.8,2823.8,2827.9,2824.7,860.4,858.4,961.5,958.7
196,2019-04-30,0,3.5,0,4.4,0.2,3.4,2547.5,2642.1,154.6,159,2702.1,25.3,2727.1,2827.4,2828.4,2831.5,2829.5,860.2,857.8,961.3,958
197,2019-05-31,0,3.4,0.1,4.5,0.1,3.2,2544,2638.9,155.5,160.3,2699.5,24.5,2724,2824.8,2829.1,2829.1,2829.4,853.7,855.1,955.4,956.4
198,2019-06-30,0,2.9,0,4,0.1,2.9,2552.1,2647.5,156.5,161.5,2708.6,23.6,2731.7,2833.6,2830.8,2841.6,2836.3,858.8,858.3,961.5,960
199,2019-07-31,0.2,2.7,0,4,0.2,2.7,2576.7,2647.5,206.6,161.5,2783.2,22.7,2806,2833.6,2830.8,2819.3,2822.6,858.7,860.9,961.5,960
200,2019-08-31,0.4,2.4,0,4,0.2,2.5,2581.7,2647.5,207.8,161.5,2789.5,21.8,2811.3,2833.6,2830.8,2824.2,2828.9,861.5,863.9,961.5,960
201,2019-09-30,0.4,2.3,0,4,0.3,2.3,2585.8,2647.5,209.5,161.5,2795.3,21,2816.3,2833.6,2830.8,2833.3,2835.2,869.1,868,961.5,960
202,2019-10-31,0.1,1.9,0,4,0.2,2.2,2592.7,2647.5,211.3,161.5,2804,20.6,2824.6,2833.6,2830.8,2841.4,2841.4,872.9,870,961.5,960
203,2019-11-30,0.2,1.6,0,4,0.2,2.1,2601.4,2647.5,212.9,161.5,2814.3,19.8,2834.1,2833.6,2830.8,2850.5,2848.3,873.9,872,961.5,960
204,2019-12-31,0.1,1.6,0,4,0.2,2.1,2606.2,2647.5,214.1,161.5,2820.3,19.1,2839.5,2833.6,2830.8,2855.1,2853,872.9,873.3,961.5,960
